MOC02_2	MOC02
MOC06_2	MOC06
MOC07_2	MOC07
MOC03_2	MOC03
MOC04_2	MOC04
MOC05_2	MOC05
MOC08_2	MOC08
MOC09_2	MOC09
MOC10_2	MOC10
MOC11_2	MOC11
POS10_2	POS10
POS15_2	POS15
MOC12_2	MOC12
MOC13_2	MOC13
SEC05_2	SEC05
SEC08_2	SEC08
SEC09_2	SEC09
SEC23_2	SEC23
SUM10_2	SUM10
SUM12_2	SUM12
SUM13_2	SUM13
CAR02_2	CAR02
CAR05_2	CAR05
POT05_2	POT05
